"Time Stamp","Time Zone","Name","PTID","Load"
"07/27/2025 01:50:00","EDT","N.Y.C.",61761,6047.5244
"07/27/2025 01:50:00","EDT","NORTH",61755,563.8647
"07/27/2025 01:50:00","EDT","WEST",61752,1977.0347
"07/27/2025 01:55:00","EDT","CAPITL",61757,1388.4714
"07/27/2025 01:55:00","EDT","CENTRL",61754,1798.5994
"07/27/2025 01:55:00","EDT","DUNWOD",61760,694.9596
"07/27/2025 01:55:00","EDT","GENESE",61753,1237.8217
"07/27/2025 01:55:00","EDT","HUD VL",61758,1139.0227
"07/27/2025 01:55:00","EDT","LONGIL",61762,2379.9375
"07/27/2025 01:55:00","EDT","MHK VL",61756,900.937
"07/27/2025 01:55:00","EDT","MILLWD",61759,292.0381
"07/27/2025 01:55:00","EDT","N.Y.C.",61761,6006.078
"07/27/2025 01:55:00","EDT","NORTH",61755,540.9233
"07/27/2025 01:55:00","EDT","WEST",61752,1957.0593
"07/27/2025 02:00:00","EDT","CAPITL",61757,1387.8352
"07/27/2025 02:00:00","EDT","CENTRL",61754,1785.6633
"07/27/2025 02:00:00","EDT","DUNWOD",61760,697.609
"07/27/2025 02:00:00","EDT","GENESE",61753,1238.4001
"07/27/2025 02:00:00","EDT","HUD VL",61758,1158.4242
"07/27/2025 02:00:00","EDT","LONGIL",61762,2376.4897
"07/27/2025 02:00:00","EDT","MHK VL",61756,908.0612
"07/27/2025 02:00:00","EDT","MILLWD",61759,286.1191
"07/27/2025 02:00:00","EDT","N.Y.C.",61761,5986.128
"07/27/2025 02:00:00","EDT","NORTH",61755,554.9052
"07/27/2025 02:00:00","EDT","WEST",61752,1953.5922
"07/27/2025 02:05:00","EDT","CAPITL",61757,1370.1602
"07/27/2025 02:05:00","EDT","CENTRL",61754,1794.2804
"07/27/2025 02:05:00","EDT","DUNWOD",61760,696.2958
"07/27/2025 02:05:00","EDT","GENESE",61753,1225.2384
"07/27/2025 02:05:00","EDT","HUD VL",61758,1123.585
"07/27/2025 02:05:00","EDT","LONGIL",61762,2366.8462
"07/27/2025 02:05:00","EDT","MHK VL",61756,899.4507
"07/27/2025 02:05:00","EDT","MILLWD",61759,284.5507
"07/27/2025 02:05:00","EDT","N.Y.C.",61761,5959.0283
"07/27/2025 02:05:00","EDT","NORTH",61755,554.5403
"07/27/2025 02:05:00","EDT","WEST",61752,1949.7373
"07/27/2025 02:10:00","EDT","CAPITL",61757,1392.2483
"07/27/2025 02:10:00","EDT","CENTRL",61754,1765.1613
"07/27/2025 02:10:00","EDT","DUNWOD",61760,679.5936
"07/27/2025 02:10:00","EDT","GENESE",61753,1228.6339
"07/27/2025 02:10:00","EDT","HUD VL",61758,1125.2172
"07/27/2025 02:10:00","EDT","LONGIL",61762,2364.8396
"07/27/2025 02:10:00","EDT","MHK VL",61756,880.2476
"07/27/2025 02:10:00","EDT","MILLWD",61759,293.6521
"07/27/2025 02:10:00","EDT","N.Y.C.",61761,5972.6934
"07/27/2025 02:10:00","EDT","NORTH",61755,564.1107
"07/27/2025 02:10:00","EDT","WEST",61752,1945.6042
"07/27/2025 02:15:00","EDT","CAPITL",61757,1383.449
"07/27/2025 02:15:00","EDT","CENTRL",61754,1812.619
"07/27/2025 02:15:00","EDT","DUNWOD",61760,683.1863
"07/27/2025 02:15:00","EDT","GENESE",61753,1223.4365
"07/27/2025 02:15:00","EDT","HUD VL",61758,1134.3267
"07/27/2025 02:15:00","EDT","LONGIL",61762,2373.357
"07/27/2025 02:15:00","EDT","MHK VL",61756,882.4463
"07/27/2025 02:15:00","EDT","MILLWD",61759,278.9651
"07/27/2025 02:15:00","EDT","N.Y.C.",61761,5953.411
"07/27/2025 02:15:00","EDT","NORTH",61755,558.9077
"07/27/2025 02:15:00","EDT","WEST",61752,1945.5358
"07/27/2025 02:20:00","EDT","CAPITL",61757,1364.0554
"07/27/2025 02:20:00","EDT","CENTRL",61754,1804.719
"07/27/2025 02:20:00","EDT","DUNWOD",61760,673.9214
"07/27/2025 02:20:00","EDT","GENESE",61753,1219.5747
"07/27/2025 02:20:00","EDT","HUD VL",61758,1115.7642
"07/27/2025 02:20:00","EDT","LONGIL",61762,2361.5244
"07/27/2025 02:20:00","EDT","MHK VL",61756,898.4362
"07/27/2025 02:20:00","EDT","MILLWD",61759,288.1181
"07/27/2025 02:20:00","EDT","N.Y.C.",61761,5955.348
"07/27/2025 02:20:00","EDT","NORTH",61755,547.2179
"07/27/2025 02:20:00","EDT","WEST",61752,1949.6104
